Asset,Source,URL,Purpose
Bacteriostatic water,FDA recall/product description,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hospira-inc-issues-voluntary-nationwide-recall-one-lot-bacteriostatic-water-injection-usp-due,"0.9% benzyl alcohol product identity, indicated diluent context and sterility risk"
Bacteriostatic water,FDA pharmaceutical water guidance,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/inspection-technical-guides/water-pharmaceutical-use,Separation of pharmaceutical water types
Botulinum toxin,MHRA Drug Safety Update,https://www.gov.uk/drug-safety-update/botulinum-toxin-type-a-products-updated-warnings-regarding-risk-of-iatrogenic-botulism,15 July 2026 iatrogenic-botulism and unlicensed-product warning
Botulinum toxin,FDA warning letter,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/beauty-aztlan-llc-723532-04022026,"Unapproved toxins, authorised prescription-product examples and boxed warning"
Hyaluronic acid,FDA dermal filler guidance,https://www.fda.gov/medical-devices/aesthetic-cosmetic-devices/dermal-fillers-soft-tissue-fillers,"Product-specific approvals and vascular-occlusion, blindness and stroke risks"
Hyaluronic acid,FDA approved fillers,https://www.fda.gov/medical-devices/aesthetic-cosmetic-devices/fda-approved-dermal-fillers,"Exact device, indication and crosslinked-product context"
Alprostadil,DailyMed Caverject label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a295fc1e-d82c-4f44-bc2d-a552bf594c98,"Authorised route, priapism, fibrosis and hypotension controls"
Alprostadil,MHRA product search,https://products.mhra.gov.uk/search/?search=Alprostadil,Current United Kingdom product information search
Lemon Bottle,FDA unapproved fat-dissolving injections,https://www.fda.gov/drugs/buying-using-medicine-safely/using-fat-dissolving-injections-are-not-fda-approved-can-be-harmful,"Infection, scarring, deformity, nodules and approved-product boundary"
Lemon Bottle,FDA Filler Lux warning letter,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/filler-lux-dba-filler-lux-usa-699221-03032025,LemonBottle Ampoule Solution identified as unapproved new drug
Lemon Bottle,FDA Fox Pharma warning letter,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fox-pharma-llc-699225-03032025,Unapproved injectable product and public-health concern
