Asset UAI,Asset Name,Catalogue Code,Specification,USD / Kit,Identity Status
CERT-PKS-000038,Semax,XA5,5 mg x 10 vials,41,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000038,Semax,XA10,10 mg x 10 vials,62,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000038,Semax,XA30,30 mg x 10 vials,135,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000039,Selank,SK5,5 mg x 10 vials,41,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000039,Selank,SK10,10 mg x 10 vials,68,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000039,Selank,SK30,30 mg x 10 vials,145,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS2,2 mg x 10 vials,27,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS5,5 mg x 10 vials,47,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS10,10 mg x 10 vials,71,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS15,15 mg x 10 vials,99,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000041,Pinealon,PIN5,5 mg x 10 vials,42,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000041,Pinealon,PIN10,10 mg x 10 vials,64,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000041,Pinealon,PIN20,20 mg x 10 vials,103,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000042,Adamax Supplier Product Family,AD5,5 mg x 10 vials,172,CRITICAL IDENTITY GAP
CERT-PKS-000043,PE 22-28 Supplier Product Family,PE10,10 mg x 10 vials,71,CRITICAL IDENTITY GAP
