Product Passport,Parent UAI,Asset Name,Required Field,Status,Closure Priority,Closure Evidence
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,complete MGF-derived peptide sequence and residue range,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,N- and C-terminal chemistry,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,PEG molecular weight and architecture,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,"PEG attachment residue, linkage and site occupancy",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,mono-PEGylated versus multi-PEGylated species distribution,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,"reference standard, intact mass, peptide mapping and purity",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,"manufacturer, synthesis/conjugation process and batch",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000033,CERT-PKS-000028,PEG-MGF Supplier Product Family,"sterility, endotoxin, particles, stability and human evidence",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,urinary chorionic gonadotropin versus recombinant choriogonadotropin alfa,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,alpha/beta subunit identity and glycosylation profile,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,"source material, donor and pathogen-control process",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,potency assay and USP/IU unit traceability,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,"concentration, excipients, route and container system",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,"manufacturer, biological licence and authorised supply chain",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,"purity, aggregation, immunogenicity and batch release",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000034,CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,"sterility, endotoxin, stability and product-specific approval",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,"urinary source, donor controls and collection process",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,FSH identity and potency assay,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,LH activity source and potency assay,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,FSH/LH bioactivity ratio and batch consistency,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,"purification, viral safety and impurity profile",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,"manufacturer, biological licence and authorised supply chain",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,"formulation, route, excipients and container system",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000035,CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,"sterility, endotoxin, stability and product-specific approval",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,manufacturer and branded Cerebrolysin relationship,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,"porcine species, tissue source and donor controls",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,"hydrolysis, purification and viral/prion risk controls",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,peptide molecular-weight distribution and free amino-acid profile,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,"concentration, fill volume, excipients and route",OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
CERT-PPS-000036,CERT-PKS-000044,Cerebrolysin Product Family,batch fingerprint and reference-product comparability,OPEN,P1,"Direct manufacturer, analytical, biological-source, quality, clinical and regulatory evidence"
