Asset UAI,Asset Name,Catalogue Code,Specification,Price USD / Kit,Source,Quality Status
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,TA2,2 mg x 10 vials,54,Peptides.pdf,UNVERIFIED
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,TA5,5 mg x 10 vials,99,Peptides.pdf,UNVERIFIED
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,TA10,10 mg x 10 vials,197,Peptides.pdf,UNVERIFIED
CERT-PKS-000052,Thymalin Product Family,TY10,10 mg x 10 vials,76,Peptides.pdf,UNVERIFIED
CERT-PKS-000053,LL-37,375,5 mg x 10 vials,98,Peptides.pdf,UNVERIFIED
CERT-PKS-000054,Cibinetide / ARA-290,RA10,10 mg x 10 vials,76,Peptides.pdf,UNVERIFIED
CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,VP5,5 mg x 10 vials,95,Peptides.pdf,UNVERIFIED
CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,VP10,10 mg x 10 vials,160,Peptides.pdf,UNVERIFIED
CERT-PKS-000056,KPV,KP5,5 mg x 10 vials,39,Peptides.pdf,UNVERIFIED
CERT-PKS-000056,KPV,KP10,10 mg x 10 vials,59,Peptides.pdf,UNVERIFIED
