source_build,canonical_path,sha256,size_bytes,restoration_action
0036,05_Monitoring/Registers/CUSTOMER_COMMUNICATION_REGISTER.csv,9d07123246ae6b8ec1a2aa0192b5c6a992ccfb73d939cbdae369e270f065ae65,108,RESTORE_CANONICAL
0036,05_Monitoring/Registers/REGULATORY_REPORTING_REGISTER.csv,92d0911f14a0fdab9b6abd155e77778714a89446e0e03955ac98429fcccdeb9c,128,RESTORE_CANONICAL
0036,05_Monitoring/Registers/SIGNAL_AGGREGATION_REGISTER.csv,424524c9fad420651de431359fe165464a371e953c4e0f768bfdf70cc3d623e8,105,RESTORE_CANONICAL
0036,05_Monitoring/Registers/SIGNAL_THRESHOLD_MATRIX.csv,d78b12ee3b12dfe385b3429e2362b97ef21cd16f3e3a5351373e2ef2d330f6b1,266,RESTORE_CANONICAL
0036,05_Monitoring/Registers/SURVEILLANCE_ACTION_REGISTER.csv,f1ccd8ca9096aa5154170cae73cd165628eb581b91e03c0e307932eced41d152,85,RESTORE_CANONICAL
0036,05_Monitoring/Registers/SURVEILLANCE_CASE_REGISTER.csv,e98d7345d7a13b612c5293de915bc69ad08692ed605bd6a01a9daf2f73ccb047,115,RESTORE_CANONICAL
0036,05_Monitoring/Registers/SURVEILLANCE_SEVERITY_MATRIX.csv,3aa57f76aa82bfca1f096d566a7a5a88ad09d0eec213aaf14a6be8cf8754c077,528,RESTORE_CANONICAL
0036,05_Monitoring/Schemas/reporting_assessment.schema.json,4b558b736ef4f216381ebef6f9e152199bc141f191cb71b206bf0c55b164b081,968,RESTORE_CANONICAL
0036,05_Monitoring/Schemas/surveillance_case.schema.json,6b94a52aeb7856896f48e8b72632c05ca4eb674031b0f6f47b48a549a359fc04,1055,RESTORE_CANONICAL
0036,05_Monitoring/Standards/POST_MARKET_SURVEILLANCE_STANDARD.md,ba4d65836fb815d72a7bfec12c1dfdef059bee0259c28c0074d6ee5b5f8ee913,1298,RESTORE_CANONICAL
0036,05_Monitoring/Standards/REGULATORY_REPORTING_ASSESSMENT_STANDARD.md,d30c474cbc2c37561150adacd5223a4954449c0852f0f46024a7d9316bb481dc,675,RESTORE_CANONICAL
0036,05_Monitoring/Templates/CASE_CLOSURE_TEMPLATE.md,cb68277226c59be9318000416432790bba1ffc1205ea3e6d3386bb0275bd0052,221,RESTORE_CANONICAL
0036,05_Monitoring/Templates/REGULATORY_REPORTING_ASSESSMENT_TEMPLATE.md,7269e0359b849720a1f48de810c0986f6fc19bc8d700a45c37f3282dd03fb482,260,RESTORE_CANONICAL
0036,05_Monitoring/Templates/SURVEILLANCE_TRIAGE_TEMPLATE.md,4fa60ca2a99e083629db02bf078dd00fcc019f222de8ee36f41ac8ae1813fc59,197,RESTORE_CANONICAL
0036,05_Monitoring/Templates/surveillance_case.template.json,a323d1a3320f7ede22cee437359388358a1652f67add42bd262e8e8f664b99ea,1034,RESTORE_CANONICAL
0036,10_Marketplace/Examples/invalid_automatic_eligibility.example.json,016b08f3517af3f7836bebbc707c418854361d248fd4e7570ba979fd8c13833d,1482,RESTORE_CANONICAL
0036,10_Marketplace/Examples/invalid_privacy_auto_close.example.json,6787e41c95d99d237342c91136ad79700291f38a7741f95e71de27fc5d64ecd9,683,RESTORE_CANONICAL
0036,10_Marketplace/Examples/invalid_prohibited_jurisdiction.example.json,f9c45e6c8e6bcb87a55e28ac547ae9e209aac71fb72739e3a0b4a34a4cbaf859,1640,RESTORE_CANONICAL
0036,10_Marketplace/Examples/invalid_signal_auto_close.example.json,75f4410e8987a19eb483481c30b63a821acc4ccfc213d797c75532631445d5fe,1328,RESTORE_CANONICAL
0036,10_Marketplace/Examples/valid_critical_signal.example.json,4f67642fa9883b4627fd31797bac7b0b28e87e6e8411adfa88190f0686a6c7bf,1583,RESTORE_CANONICAL
0036,10_Marketplace/Examples/valid_individual_eligibility.example.json,f9502330f0e1acecca4146d60c82dd1ee66a0c05652c01efe220b4f608e2cb60,1627,RESTORE_CANONICAL
0036,10_Marketplace/Examples/valid_organisation_conditional.example.json,baa9643af0d53008242e5afed56c1da10b7a85774fe2773897e9ac5923b8d851,2006,RESTORE_CANONICAL
